name,popularity,duration_ms,artist,artists_list,release_date,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,artist_name,artist_popularity,artist_followers,artist_genres,music_file
Reloj,71,231595,Rauw Alejandro,"Rauw Alejandro,Anuel AA",2020-11-13,0.176,0.823,0.537,3.75e-06,0.124,-2.627,0.211,175.965,4,0.608,Rauw Alejandro,85,19134712,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",Your Song - Elton John (128).wav
HOY AQUÍ,68,187826,Rauw Alejandro,Rauw Alejandro,2023-07-07,0.589,0.758,0.776,1.32e-06,0.12,-2.224,0.0745,91.936,4,0.532,Rauw Alejandro,85,19134712,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",HOY AQUÍ - Rauw Alejandro (128).wav
DIME QUIÉN????,68,164728,Rauw Alejandro,Rauw Alejandro,2023-01-24,0.0791,0.565,0.773,0.0,0.22,-3.211,0.137,170.023,4,0.609,Rauw Alejandro,85,19134712,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",DIME QUIÉN - Rauw Alejandro (128).wav
Aloha,67,241659,Maluma,"Maluma,Beéle,Rauw Alejandro,Mambo Kingz,DJ Luian,Darell",2021-03-05,0.532,0.807,0.712,2.37e-05,0.163,-5.757,0.1,100.004,4,0.792,Maluma,83,34427112,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",Alone - Halsey (128).wav
CUANDO BAJE EL SOL,67,166740,Rauw Alejandro,Rauw Alejandro,2023-07-07,0.327,0.794,0.756,0.0,0.334,-2.4,0.0641,99.977,4,0.568,Rauw Alejandro,85,19134712,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",CUANDO BAJE EL SOL - Rauw Alejandro (128).wav
QUÉ RICO CH**GAMOS,70,246747,Rauw Alejandro,Rauw Alejandro,2023-01-24,0.386,0.763,0.706,0.0,0.426,-4.872,0.16,84.016,4,0.735,Rauw Alejandro,85,19134712,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",QUÉ RICO CHGAMOS - Rauw Alejandro (128).wav
Come & Go (with Marshmello),78,205485,Juice WRLD,"Juice WRLD,Marshmello",2020-07-10,0.0172,0.625,0.814,0.0,0.158,-5.181,0.0657,144.991,4,0.535,Juice WRLD,84,31181079,"['chicago rap', 'melodic rap', 'rap']",Come Go - Juice WRLD Marshmello (128).wav
One Thing Right,73,181824,Marshmello,"Marshmello,Kane Brown",2019-06-21,0.0644,0.659,0.625,0.0,0.582,-2.253,0.045,88.042,4,0.442,Marshmello,80,35035483,"['brostep', 'edm', 'pop', 'progressive electro house']",One Thing - One Direction (128).wav
Hate The Other Side (with Marshmello & The Kid Laroi),72,160212,Juice WRLD,"Juice WRLD,Marshmello,The Kid LAROI,Polo G",2020-07-10,0.291,0.701,0.65,0.0,0.112,-6.313,0.104,90.003,4,0.647,Juice WRLD,84,31181079,"['chicago rap', 'melodic rap', 'rap']",Hate The Other Side - Juice WRLD Marshmello The Kid LAROI.wav
Spotlight,72,177600,Marshmello,"Marshmello,Lil Peep",2018-01-12,0.0145,0.546,0.822,0.0,0.742,-4.483,0.151,150.06,4,0.615,Marshmello,80,35035483,"['brostep', 'edm', 'pop', 'progressive electro house']",Spotlight - Marshmello Lil Peep (128).wav
No Man's Land,68,138234,Marshmello,"Marshmello,venbee",2024-01-12,0.193,0.577,0.814,0.000372,0.163,-4.688,0.0732,168.015,4,0.512,Marshmello,80,35035483,"['brostep', 'edm', 'pop', 'progressive electro house']",NO - Meghan Trainor (128).wav
Other Boys,67,137066,Marshmello,"Marshmello,Dove Cameron",2023-09-08,0.0119,0.738,0.828,0.0019,0.549,-6.31,0.106,119.985,4,0.542,Marshmello,80,35035483,"['brostep', 'edm', 'pop', 'progressive electro house']",Together - Sia (128).wav
Bye Bye,69,108499,Marshmello,"Marshmello,Juice WRLD",2022-10-14,0.0574,0.645,0.525,0.0,0.505,-5.399,0.0355,83.018,4,0.238,Marshmello,80,35035483,"['brostep', 'edm', 'pop', 'progressive electro house']",Butter - BTS (128).wav
OK Not To Be OK,65,159863,Marshmello,"Marshmello,Demi Lovato",2020-09-10,0.0172,0.743,0.837,0.0,0.0743,-5.025,0.0649,103.072,4,0.263,Marshmello,80,35035483,"['brostep', 'edm', 'pop', 'progressive electro house']",OK Not To Be OK - Marshmello Demi Lovato (128).wav
Grown Man,61,106512,Marshmello,"Marshmello,Polo G,Southside",2023-03-31,0.0195,0.778,0.646,2.14e-06,0.0956,-5.762,0.0735,81.992,4,0.61,Marshmello,80,35035483,"['brostep', 'edm', 'pop', 'progressive electro house']",Calm Down - Rema (128).wav
FEEL SOMETHING (feat. Marshmello),61,139041,The Kid LAROI,"The Kid LAROI,Marshmello",2021-07-27,0.059,0.523,0.609,0.0,0.14,-7.802,0.191,154.051,4,0.374,The Kid LAROI,79,4841122,['australian hip hop'],Something Real - Post Malone (128).wav
Movement,61,192004,Marshmello,"Marshmello,HOL!",2024-02-09,0.0128,0.689,0.952,0.0509,0.148,-0.141,0.0498,145.013,4,0.218,Marshmello,80,35035483,"['brostep', 'edm', 'pop', 'progressive electro house']",Movement - Marshmello HOL! (128).wav
Project Dreams,62,167898,Marshmello,"Marshmello,Roddy Ricch",2019-01-25,0.409,0.78,0.828,0.0,0.104,-2.235,0.237,160.113,4,0.786,Marshmello,80,35035483,"['brostep', 'edm', 'pop', 'progressive electro house']",Project Dreams - Marshmello Roddy Ricch (128).wav
Finally // beautiful stranger,57,221096,Halsey,Halsey,2019-12-06,0.051,0.626,0.55,0.0,0.118,-5.105,0.029,133.976,4,0.123,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Finally beautiful stranger - Halsey (128).wav
I'm Not Mad,58,173467,Halsey,Halsey,2020-01-17,0.17,0.78,0.684,0.0,0.105,-5.758,0.0636,149.916,4,0.732,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']",I m Not Mad - Halsey (128).wav
Strangers,59,221206,Halsey,"Halsey,Lauren Jauregui",2017-06-02,0.01,0.69,0.784,4.08e-05,0.22,-4.724,0.056,109.969,4,0.284,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Stronger - Kanye West (128).wav
The Feeling,43,244907,Justin Bieber,"Justin Bieber,Halsey",2015-11-13,0.0819,0.525,0.809,1.22e-06,0.0971,-6.185,0.0619,127.073,4,0.21,Justin Bieber,86,74403685,"['canadian pop', 'pop']",Sixteen - Ellie Goulding (128).wav
Ghost,58,153657,Halsey,Halsey,2015-08-28,0.0529,0.57,0.606,0.000727,0.134,-8.085,0.129,95.038,4,0.212,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Ghost - Halsey (128).wav
Dominic’s Interlude,54,76480,Halsey,"Halsey,Dominic Fike",2020-01-17,0.784,0.406,0.368,0.0,0.354,-6.31,0.0296,157.885,4,0.707,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Dominic s Interlude - Dominic Fike Halsey (128).wav
"I am not a woman, I'm a god",58,176413,Halsey,Halsey,2021-08-27,0.00397,0.523,0.702,0.0325,0.063,-6.74,0.0462,179.992,4,0.494,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']","11. Halsey - I am not a woman, I m a god (128).wav"
Hold Me Down,58,204785,Halsey,Halsey,2015-08-28,0.279,0.677,0.744,0.0,0.119,-4.512,0.0882,145.928,4,0.531,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Hold Me Down - Halsey (128).wav
Bells in Santa Fe,54,217653,Halsey,Halsey,2021-08-27,0.613,0.651,0.489,0.00644,0.387,-8.264,0.0315,149.986,4,0.395,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Blind - SZA (128).wav
Young God,57,180088,Halsey,Halsey,2015-08-28,0.324,0.449,0.599,4.09e-06,0.114,-6.509,0.0405,119.868,4,0.198,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Young God - Halsey (128).wav
Alone,55,205660,Halsey,Halsey,2017-06-02,0.0184,0.602,0.724,0.0,0.606,-3.469,0.0352,100.064,4,0.451,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Alone - Halsey (128).wav
Not Afraid Anymore,55,226787,Halsey,Halsey,2017-02-10,0.00346,0.546,0.734,4.94e-05,0.136,-6.991,0.0653,132.0,4,0.421,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Not Afraid Anymore - Halsey (128).wav
honey,53,173840,Halsey,Halsey,2021-08-27,0.000499,0.471,0.857,5.44e-05,0.0682,-5.069,0.0614,160.069,4,0.393,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']",9. Halsey - honey (128).wav
Is There Somewhere,53,211669,Halsey,Halsey,2015-04-14,0.126,0.507,0.553,0.000175,0.087,-7.62,0.046,130.072,4,0.181,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Is There Somewhere - Halsey (128).wav
Darling,50,182000,Halsey,Halsey,2021-08-27,0.845,0.538,0.284,0.0,0.211,-9.681,0.0314,86.973,4,0.581,Halsey,79,21085824,"['electropop', 'etherpop', 'indie poptimism', 'pop']",7. Halsey - Darling (128).wav
Snap Out Of It,80,193030,Arctic Monkeys,Arctic Monkeys,2013-09-09,0.249,0.728,0.638,0.0,0.116,-6.455,0.0336,130.014,4,0.872,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Snap Out Of It - Arctic Monkeys (128).wav
From The Ritz To The Rubble,69,193427,Arctic Monkeys,Arctic Monkeys,2006-01-29,0.00147,0.216,0.882,0.0,0.308,-5.176,0.0439,189.286,4,0.656,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",From The Ritz To The Rubble - Arctic Monkeys (128).wav
Piledriver Waltz,64,203880,Arctic Monkeys,Arctic Monkeys,2011-06-06,0.00724,0.443,0.865,0.000116,0.468,-4.547,0.0391,110.008,4,0.474,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Piledriver Waltz - Arctic Monkeys (128).wav
Do Me a Favour,66,209253,Arctic Monkeys,Arctic Monkeys,2007-04-22,0.00013,0.469,0.738,0.0577,0.078,-6.638,0.0619,180.15,4,0.624,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Do Me a Favour - Arctic Monkeys (128).wav
Knee Socks,77,257563,Arctic Monkeys,Arctic Monkeys,2013-09-09,0.123,0.665,0.542,0.00291,0.342,-8.323,0.033,97.975,4,0.587,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Knee Socks - Arctic Monkeys (128).wav
Dancing Shoes,65,141133,Arctic Monkeys,Arctic Monkeys,2006-01-29,0.00328,0.522,0.889,0.0,0.345,-4.137,0.0461,144.499,4,0.852,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Dancing Shoes - Arctic Monkeys (128).wav
Old Yellow Bricks,67,193227,Arctic Monkeys,Arctic Monkeys,2007-04-22,0.000147,0.66,0.837,6.62e-06,0.0788,-4.315,0.0682,135.158,4,0.757,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Old Yellow Bricks - Arctic Monkeys (128).wav
Bigger Boys and Stolen Sweethearts,63,180640,Arctic Monkeys,Arctic Monkeys,2005-10-17,0.00518,0.494,0.587,0.0,0.0892,-7.323,0.0324,131.774,4,0.605,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Bigger Boys and Stolen Sweethearts - Arctic Monkeys (128).wav
Only Ones Who Know,65,184760,Arctic Monkeys,Arctic Monkeys,2007-04-22,0.902,0.29,0.399,0.0019,0.105,-10.696,0.0338,128.37,5,0.0965,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Only Ones Who Know - Arctic Monkeys (128).wav
Too Much To Ask,60,183253,Arctic Monkeys,Arctic Monkeys,2007-07-08,0.00777,0.724,0.757,0.000154,0.215,-4.787,0.0274,109.98,4,0.878,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",4. Arctic Monkeys - Too Much To Ask (128).wav
Secret Door,63,223067,Arctic Monkeys,Arctic Monkeys,2009-08-20,0.0314,0.323,0.806,1.11e-05,0.181,-6.554,0.0769,124.615,4,0.548,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Secret Door - Arctic Monkeys (128).wav
No Buses,63,197320,Arctic Monkeys,Arctic Monkeys,2006-04-22,0.155,0.481,0.524,0.000147,0.0523,-9.051,0.0369,101.883,4,0.425,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",No Buses - Arctic Monkeys (128).wav
Love is a Laserquest,63,191427,Arctic Monkeys,Arctic Monkeys,2011-06-06,0.00197,0.349,0.662,0.908,0.136,-6.873,0.0402,169.926,4,0.554,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Love is a Laserquest - Arctic Monkeys (128).wav
Sculptures Of Anything Goes,62,239151,Arctic Monkeys,Arctic Monkeys,2022-10-21,0.704,0.591,0.309,0.0122,0.102,-11.087,0.0287,71.573,4,0.257,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Sculptures Of Anything Goes - Arctic Monkeys (128).wav
Suck It and See,62,225987,Arctic Monkeys,Arctic Monkeys,2011-06-06,0.00105,0.339,0.932,0.114,0.255,-5.017,0.057,128.291,4,0.586,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Suck It and See - Arctic Monkeys (128).wav
Four Out Of Five,63,312347,Arctic Monkeys,Arctic Monkeys,2018-05-10,0.0626,0.601,0.863,0.0,0.0717,-4.31,0.0685,130.189,4,0.676,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Four Out Of Five - Arctic Monkeys (128).wav
My Propeller,62,205747,Arctic Monkeys,Arctic Monkeys,2009-08-20,0.052,0.415,0.657,0.0552,0.233,-6.758,0.0295,115.752,4,0.69,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",My Propeller - Arctic Monkeys (128).wav
LA COMBI VERSACE,67,161267,ROSALÍA,"ROSALÍA,Tokischa",2022-03-18,0.561,0.835,0.495,0.000206,0.103,-5.791,0.522,90.97,4,0.426,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",Alane - Robin Schulz Wes (128).wav
TKN (feat. Travis Scott),69,129371,ROSALÍA,"ROSALÍA,Travis Scott",2020-05-28,0.192,0.776,0.509,1.49e-06,0.115,-6.266,0.467,94.634,4,0.485,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",TKN - ROSALÍA Travis Scott (128).wav
BIZCOCHITO,69,109120,ROSALÍA,ROSALÍA,2022-03-18,0.605,0.93,0.774,0.0238,0.12,-4.203,0.0744,116.972,4,0.781,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",BIZCOCHITO - ROSALÍA (128).wav
Brillo,63,159573,J Balvin,"J Balvin,ROSALÍA",2018-05-25,0.89,0.535,0.384,0.0,0.0964,-10.049,0.362,145.947,4,0.767,J Balvin,83,37770548,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",Brillo - J Balvin ROSALÍA (128).wav
CANDY - Remix,63,204655,ROSALÍA,"ROSALÍA,Chencho Corleone",2022-09-09,0.727,0.738,0.674,0.00229,0.0815,-3.837,0.179,179.979,4,0.556,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",Corny - Rema (128).wav
DI MI NOMBRE - Cap.8: Éxtasis,62,162377,ROSALÍA,ROSALÍA,2018-11-02,0.885,0.794,0.534,5.18e-05,0.314,-6.47,0.131,91.871,4,0.547,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",DI MI NOMBRE (Cap.8 Éxtasis) - ROSALÍA (128).wav
SAOKO,67,137533,ROSALÍA,ROSALÍA,2022-03-18,0.79,0.827,0.768,2.45e-05,0.497,-5.702,0.265,99.988,4,0.734,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",SAOKO - ROSALÍA (128).wav
CHICKEN TERIYAKI,62,122227,ROSALÍA,ROSALÍA,2022-03-18,0.454,0.788,0.4,0.000141,0.0686,-6.454,0.115,97.936,4,0.558,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",CHICKEN TERIYAKI - ROSALÍA (128).wav
PIENSO EN TU MIRÁ - Cap.3: Celos,62,193767,ROSALÍA,ROSALÍA,2018-11-02,0.0909,0.647,0.676,0.0227,0.0947,-6.025,0.0862,164.51,3,0.41,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",PIENSO EN TU MIRÁ (Cap.3 Celos) - ROSALÍA (128).wav
Dolerme,59,143976,ROSALÍA,ROSALÍA,2020-03-24,0.785,0.545,0.478,0.00278,0.123,-7.035,0.0559,173.746,4,0.318,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",Dolerme - ROSALÍA (128).wav
BAGDAD - Cap.7: Liturgia,61,182657,ROSALÍA,ROSALÍA,2018-11-02,0.737,0.707,0.36,6.97e-05,0.0977,-8.89,0.0499,80.055,4,0.358,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",BAGDAD (Cap.7 Liturgia) - ROSALÍA (128).wav
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,64,244874,Travis Scott,"Travis Scott,ROSALÍA,Lil Baby",2019-12-27,0.0567,0.559,0.491,0.0,0.0992,-6.406,0.0346,153.131,4,0.114,Travis Scott,90,24895140,"['hip hop', 'rap', 'slap house']",HIGHEST_IN_THE_ROOM_feat_ROSALÍA_Lil_Baby_REMIX_Trav.wav
Milionària,57,138371,ROSALÍA,ROSALÍA,2019-07-03,0.602,0.857,0.574,1.24e-06,0.0663,-6.441,0.416,116.008,4,0.906,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",Million Reasons - Lady Gaga (128).wav
MOTOMAMI,61,61347,ROSALÍA,ROSALÍA,2022-03-18,0.637,0.887,0.331,0.00532,0.0958,-7.669,0.465,120.022,4,0.686,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",MOTOMAMI - ROSALÍA (128).wav
PRESO - Cap.6: Clausura,51,40690,ROSALÍA,ROSALÍA,2018-11-02,0.79,0.559,0.291,0.00308,0.0994,-18.795,0.0682,76.543,3,0.359,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",PRESO (Cap.6 Clausura) - ROSALÍA (128).wav
Aute Cuture,57,147626,ROSALÍA,ROSALÍA,2019-05-30,0.0756,0.747,0.643,0.00894,0.355,-6.991,0.178,99.981,4,0.538,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",LOVE YOU BETTER - Future (128).wav
Imma Be,66,257560,Black Eyed Peas,Black Eyed Peas,2009-01-01,0.179,0.597,0.517,0.0,0.307,-6.963,0.366,92.035,4,0.413,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",Junio - Maluma (128).wav
Don’t Stop The Party,62,367413,Black Eyed Peas,Black Eyed Peas,2010-01-01,0.0303,0.869,0.794,3.81e-06,0.07,-6.191,0.0984,128.022,4,0.656,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",Don t Stop The Party - The Black Eyed Peas (128).wav
Rock That Body,62,268840,Black Eyed Peas,Black Eyed Peas,2009-01-01,0.0172,0.715,0.907,8.39e-05,0.426,-6.025,0.0993,124.991,4,0.841,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",Rock That Body - The Black Eyed Peas (128).wav
Anxiety,54,218293,Black Eyed Peas,"Black Eyed Peas,Papa Roach",2003-06-24,0.11,0.557,0.893,0.0,0.086,-3.477,0.142,94.251,4,0.506,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",Anti-Hero - Taylor Swift (128).wav
HIT IT (feat. Saweetie & Lele Pons),55,235429,Black Eyed Peas,"Black Eyed Peas,Saweetie,Lele Pons",2021-08-06,0.145,0.867,0.85,6.38e-06,0.0637,-3.599,0.0413,104.992,4,0.704,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",Don t Pretend (feat. SAFE) - Khalid SAFE (128).wav
VIDA LOCA,55,234375,Black Eyed Peas,"Black Eyed Peas,Nicky Jam,Tyga",2020-11-02,0.0225,0.885,0.618,2.17e-05,0.325,-5.705,0.0544,127.983,4,0.769,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",Bodak Yellow - Cardi B (128).wav
My Humps - Single Version,52,250987,Black Eyed Peas,Black Eyed Peas,2005-01-01,0.105,0.958,0.73,0.0,0.191,-5.324,0.299,123.967,4,0.829,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",My Humps (Single Version) - The Black Eyed Peas (128).wav
MUEVELO,54,254237,Black Eyed Peas,"Black Eyed Peas,Anuel AA,Marshall Jefferson",2022-11-09,0.175,0.86,0.76,0.0337,0.047,-7.218,0.0556,117.985,4,0.638,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",Columbia - Quevedo (128).wav
The Apl Song,49,174907,Black Eyed Peas,Black Eyed Peas,2003-06-24,0.703,0.844,0.394,0.00259,0.598,-5.813,0.23,89.011,4,0.728,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",The Planet - BTS (128).wav
FEEL THE BEAT,51,237714,Black Eyed Peas,"Black Eyed Peas,Maluma",2020-11-02,0.114,0.896,0.528,0.000189,0.773,-5.981,0.0849,104.991,4,0.312,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",Feed The Beast - Kim Petras (128).wav
Gone Going,47,193920,Black Eyed Peas,Black Eyed Peas,2005-01-01,0.112,0.804,0.822,0.0,0.281,-4.299,0.0821,99.072,4,0.737,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",Burn - Ellie Goulding (128).wav
Pump It - Travis Barker Remix Version,47,216027,Black Eyed Peas,Black Eyed Peas,2005-01-01,0.00441,0.584,0.89,0.00504,0.582,-3.823,0.0412,76.71,4,0.771,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",Pump_It_Travis_Barker_Remix_Version_The_Black_Eyed_Peas_128.wav
Crying in the Club,69,216391,Camila Cabello,Camila Cabello,2017-05-18,0.334,0.334,0.617,0.0,0.163,-5.834,0.383,85.227,4,0.603,Camila Cabello,77,31877634,"['dance pop', 'pop']",Crying in the Club - Camila Cabello (128).wav
It Takes Two,65,219133,Camila Cabello,"Camila Cabello,Anna Kendrick,Justin Timberlake,Eric Andre,Daveed Diggs,Kid Cudi",2023-10-20,0.0855,0.775,0.659,1.78e-06,0.168,-4.629,0.0378,118.009,4,0.769,Camila Cabello,77,31877634,"['dance pop', 'pop']",Take Two - BTS (128).wav
Liar,65,207039,Camila Cabello,Camila Cabello,2019-12-06,0.0169,0.74,0.498,0.00282,0.319,-6.684,0.0456,98.016,4,0.652,Camila Cabello,77,31877634,"['dance pop', 'pop']",Lost - Linkin Park (128).wav
Easy,55,194686,Camila Cabello,Camila Cabello,2019-10-11,0.411,0.574,0.593,1.55e-06,0.0966,-5.731,0.0463,128.073,4,0.355,Camila Cabello,77,31877634,"['dance pop', 'pop']",Alone - Halsey (128).wav
This Love,56,220072,Camila Cabello,Camila Cabello,2019-12-06,0.253,0.494,0.502,4.37e-06,0.105,-5.75,0.0329,179.643,3,0.162,Camila Cabello,77,31877634,"['dance pop', 'pop']",This Love - Camila Cabello (128).wav
Oh Na Na,56,203653,Camila Cabello,"Camila Cabello,Myke Towers,Tainy",2021-10-29,0.0715,0.744,0.862,5.58e-06,0.0889,-3.446,0.0622,115.021,4,0.688,Camila Cabello,77,31877634,"['dance pop', 'pop']",John Wayne - Lady Gaga (128).wav
I Have Questions,57,221881,Camila Cabello,Camila Cabello,2017-05-21,0.405,0.393,0.555,0.0,0.105,-6.096,0.276,167.999,4,0.22,Camila Cabello,77,31877634,"['dance pop', 'pop']",Love is a Laserquest - Arctic Monkeys (128).wav
Used to This,54,210002,Camila Cabello,Camila Cabello,2019-12-06,0.361,0.583,0.495,3.35e-06,0.348,-7.681,0.0813,100.047,4,0.364,Camila Cabello,77,31877634,"['dance pop', 'pop']",Used to This - Camila Cabello (128).wav
Real Friends,56,214387,Camila Cabello,Camila Cabello,2018-01-12,0.839,0.726,0.304,0.0,0.0853,-8.677,0.131,91.97,4,0.813,Camila Cabello,77,31877634,"['dance pop', 'pop']",Real Friends - Camila Cabello (128).wav
She Loves Control,58,177160,Camila Cabello,Camila Cabello,2018-01-12,0.166,0.65,0.758,0.0,0.0889,-4.02,0.116,94.9,4,0.663,Camila Cabello,77,31877634,"['dance pop', 'pop']",She Loves Control - Camila Cabello (128).wav
EL MAKINON,78,209160,KAROL G,"KAROL G,Mariah Angeliq",2021-03-26,0.256,0.635,0.706,0.0,0.108,-3.224,0.125,88.863,4,0.443,KAROL G,88,41121547,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",Believer - Imagine Dragons (128).wav
CAIRO,79,198667,KAROL G,"KAROL G,Ovy On The Drums",2023-02-24,0.483,0.957,0.677,0.000438,0.0961,-3.979,0.292,115.0,4,0.469,KAROL G,88,41121547,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",Ocean - KAROL G (128).wav
200 COPAS,76,217213,KAROL G,KAROL G,2021-03-26,0.767,0.515,0.704,0.0,0.415,-5.25,0.206,91.246,3,0.885,KAROL G,88,41121547,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",3. KAROL G - 200 COPAS (128).wav
GATITA GANGSTER,78,170921,KAROL G,"KAROL G,Dei V",2023-08-10,0.167,0.826,0.552,6.23e-06,0.101,-5.167,0.144,96.981,4,0.532,KAROL G,88,41121547,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",GATITA GANGSTER - KAROL G Dei V (128).wav
Caramelo - Remix,75,233160,Ozuna,"Ozuna,KAROL G,Myke Towers",2020-09-04,0.0605,0.755,0.772,9.19e-05,0.223,-4.539,0.154,168.062,4,0.586,Ozuna,83,37816472,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",Charm - Rema (128).wav
Ocean,74,155947,KAROL G,KAROL G,2019-05-03,0.933,0.727,0.482,0.0,0.388,-6.193,0.115,74.93,4,0.487,KAROL G,88,41121547,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",Ocean - KAROL G (128).wav
BICHOTA,73,178947,KAROL G,KAROL G,2020-10-23,0.212,0.863,0.666,0.000493,0.103,-4.158,0.152,163.908,4,0.838,KAROL G,88,41121547,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",BICHOTA - KAROL G (128).wav
